text,label,true_label,predicted_label,fake_probability,real_probability,confidence,correct
"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",0,Fake,Real,0.32439634,0.6756037,0.6756037,False
"Its entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact, its quite likely.",0,Fake,Real,0.13756846,0.8624316,0.8624316,False
Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed.,0,Fake,Real,0.3244666,0.67553335,0.67553335,False
"When Tim Kaine was governor, spending soared, blowing holes in the budget every year.",0,Fake,Real,0.47650898,0.523491,0.523491,False
President Obama has the lowest public approval ratings of any president in modern times.,0,Fake,Real,0.05122331,0.94877666,0.94877666,False
Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,1,Real,Fake,0.5730592,0.4269408,0.5730592,False
Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car.,1,Real,Fake,0.5028799,0.49712005,0.5028799,False
"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency, every law enforcement agency, thats a no-no.",1,Real,Fake,0.9113795,0.088620484,0.9113795,False
I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,0,Fake,Real,0.40724853,0.59275144,0.59275144,False
"The sex-offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",1,Real,Fake,0.90400773,0.095992215,0.90400773,False
"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.",1,Real,Fake,0.9826881,0.017311895,0.9826881,False
Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,0,Fake,Real,0.058918767,0.9410812,0.9410812,False
Social Security has nothing to do with the federal deficit.,0,Fake,Real,0.32523558,0.67476445,0.67476445,False
Says states mandated tests come from an English company.,1,Real,Fake,0.9757937,0.0242062,0.9757937,False
"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",0,Fake,Real,0.032193683,0.9678063,0.9678063,False
Sixteen million jobs were created under Ronald Reagans presidency.,1,Real,Fake,0.9879639,0.01203604,0.9879639,False
This would be the largest casino in the United States.,0,Fake,Real,0.03576475,0.9642353,0.9642353,False
"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",0,Fake,Real,0.045454845,0.9545452,0.9545452,False
Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.,1,Real,Fake,0.8704261,0.1295739,0.8704261,False
Mitt Romney left Massachusetts $1 billion in debt.,0,Fake,Real,0.296868,0.703132,0.703132,False
Says Barack Obama promised he would cut the deficit in half but didnt.,1,Real,Fake,0.7357904,0.2642096,0.7357904,False
Old City in Philadelphiaused to have more than a dozen clubs and thats what we were known for and now were down to two.,1,Real,Fake,0.7835483,0.21645167,0.7835483,False
Says Denmarks suicide rate has been about twice as high as the United States over the past five decades.,0,Fake,Real,0.044245288,0.95575476,0.95575476,False
The U.S. Constitution owes its notion of democracy to the Iroquois Tribes.,0,Fake,Real,0.15083827,0.84916174,0.84916174,False
"Says Chris Koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12,000 in campaign contributions from people affiliated with the service.",0,Fake,Real,0.25026688,0.74973315,0.74973315,False
"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",0,Fake,Real,0.056583047,0.94341695,0.94341695,False
"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.",0,Fake,Real,0.20494714,0.7950528,0.7950528,False
"Im well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.",0,Fake,Real,0.12618864,0.8738113,0.8738113,False
Says Rick Perry recently said he wanted another (Texas) business tax.,0,Fake,Real,0.05488591,0.94511414,0.94511414,False
"Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",0,Fake,Real,0.06394531,0.9360547,0.9360547,False
Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,0,Fake,Real,0.06643718,0.9335628,0.9335628,False
...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted yes (on the Iran nuclear deal).,0,Fake,Real,0.25404355,0.7459564,0.7459564,False
I said no to these big bank bailouts.,1,Real,Fake,0.9877038,0.012296181,0.9877038,False
ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.,0,Fake,Real,0.048845045,0.9511549,0.9511549,False
"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.",0,Fake,Real,0.04662688,0.95337313,0.95337313,False
Gov. Rick Scott backed the federal shutdown.,0,Fake,Real,0.3396078,0.66039217,0.66039217,False
"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",0,Fake,Real,0.033941887,0.9660581,0.9660581,False
"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.",1,Real,Fake,0.92596114,0.074038856,0.92596114,False
Obama said he would unilaterally renegotiate the North American Free Trade Agreement.,1,Real,Fake,0.8630462,0.13695379,0.8630462,False
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,0,Fake,Real,0.034770582,0.9652294,0.9652294,False
"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' ",0,Fake,Real,0.26575714,0.73424286,0.73424286,False
On federal stimulus money for expanding rail service.,1,Real,Fake,0.99032366,0.009676272,0.99032366,False
"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.",1,Real,Fake,0.9889614,0.01103856,0.9889614,False
"Says his bill, HB 97, would prevent the use of taxpayer dollars on abortions.",0,Fake,Real,0.2611382,0.7388618,0.7388618,False
"When he worked for ATT, he ""was responsible for large parts in a $5 billion organization.""",0,Fake,Real,0.08416833,0.9158317,0.9158317,False
"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.",0,Fake,Real,0.036250345,0.96374965,0.96374965,False
"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.",0,Fake,Real,0.032161016,0.967839,0.967839,False
We need a Senator who shows up to work. Sherrod Brown missed over 350 official votes.,0,Fake,Real,0.049483974,0.950516,0.950516,False
"McCain ""has opposed stem cell research.""",0,Fake,Real,0.048546392,0.9514536,0.9514536,False
"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",1,Real,Fake,0.9891747,0.010825335,0.9891747,False
We're going to have more troops (in Afghanistan) . . . than the Russians had.,0,Fake,Real,0.06191547,0.93808454,0.93808454,False
Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.,0,Fake,Real,0.41173977,0.5882602,0.5882602,False
Florida is investing record amounts of funding for HIV/AIDS prevention.,0,Fake,Real,0.045879755,0.9541202,0.9541202,False
"All four on Mount Rushmore, they were all independents at one critical point in their career.",0,Fake,Real,0.11695554,0.8830445,0.8830445,False
I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City. -,0,Fake,Real,0.06363269,0.93636733,0.93636733,False
Rhode Islands unemployment insurance system is the most expensive such system in the country.,0,Fake,Real,0.04989481,0.9501052,0.9501052,False
"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",1,Real,Fake,0.9808725,0.019127486,0.9808725,False
The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria.,0,Fake,Real,0.036728427,0.96327156,0.96327156,False
"Onion Creeks highest flow rate on a recent night of flooding was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.",0,Fake,Real,0.0412289,0.95877117,0.95877117,False
Says his state budget will provide an increase in state funding for the 2011-12 school year.,1,Real,Fake,0.9880277,0.011972318,0.9880277,False
Sayvideo shows massive alligator strolling across Florida golf course.,1,Real,Fake,0.98598653,0.014013386,0.98598653,False
"If you look at the number of illegal immigrants coming into the country, it is net zero. Its been that way now for almost two years.",1,Real,Fake,0.9034971,0.09650292,0.9034971,False
"From now on, we have to pay the Russians $50 million an astronaut to send Americans to the space station",1,Real,Fake,0.96591973,0.034080323,0.96591973,False
"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.",0,Fake,Real,0.043396868,0.95660317,0.95660317,False
The Red Sox waited 87 long years to win the World Series.,0,Fake,Real,0.057638876,0.9423612,0.9423612,False
There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election.,0,Fake,Real,0.052622303,0.9473777,0.9473777,False
"There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy.",0,Fake,Real,0.4181056,0.5818944,0.5818944,False
If you want out of the individual mandate... all you have to do now is tick off the box that says hardshipand youre out.,0,Fake,Real,0.22105972,0.77894026,0.77894026,False
"Says it probably costs more than $300,000 to run for a seat on the Pedernales Electric Cooperative board of directors.",0,Fake,Real,0.06510383,0.9348961,0.9348961,False
Charlie Crist allowed college tuition to increase up to 15 percent every year.,1,Real,Fake,0.55211824,0.44788176,0.55211824,False
"Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.",1,Real,Fake,0.64173996,0.35826004,0.64173996,False
"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",0,Fake,Real,0.044228915,0.9557711,0.9557711,False
"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""",1,Real,Fake,0.9607247,0.039275266,0.9607247,False
Gene Green is the NRAs favorite Democrat in Congress. ... Its no wonder the congressman has a lifetime A rating from the NRA.,0,Fake,Real,0.07565548,0.92434454,0.92434454,False
"Obama ""won health care for 150,000 people.""",1,Real,Fake,0.9771977,0.022802336,0.9771977,False
"The CBO says that if you raise the minimum wage to $10.10 an hour, half a million people would lose their jobs.",1,Real,Fake,0.9810907,0.018909287,0.9810907,False
State governments have little ability to stimulate job growth in the short run.,1,Real,Fake,0.93785423,0.062145796,0.93785423,False
He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight.,1,Real,Fake,0.7365222,0.26347777,0.7365222,False
You had supported John McCain's military strategies pretty adamantly until this race.,0,Fake,Real,0.049739785,0.95026016,0.95026016,False
$29 is what families on SNAP (i.e. food stamps) have to live on for a week.,0,Fake,Real,0.044524997,0.955475,0.955475,False
Rooting for the Red Sox is like rooting for the drug companies.,1,Real,Fake,0.9795402,0.020459794,0.9795402,False
On allowing a vote on universal gun background checks in the U.S. Senate.,1,Real,Fake,0.97301346,0.026986554,0.97301346,False
"President Barack Obama, Nancy Pelosi and Harry Reid support Rick Perrys decision to give in-state tuition to illegal immigrants.",0,Fake,Real,0.48891878,0.5110812,0.5110812,False
Obama has more czars than the Romanovs.,1,Real,Fake,0.98920083,0.010799135,0.98920083,False
A [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.,0,Fake,Real,0.1380056,0.8619944,0.8619944,False
Says Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market.,0,Fake,Real,0.4934371,0.50656295,0.50656295,False
I have spent virtually every weekend since Memorial Day in the Panhandle.,1,Real,Fake,0.72601306,0.27398697,0.72601306,False
"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",0,Fake,Real,0.034294266,0.96570575,0.96570575,False
The U.S. doesnt make television sets anymore.,1,Real,Fake,0.9525839,0.04741613,0.9525839,False
Wisconsins projected state budget shortfall is now as low as $1.5 billion,0,Fake,Real,0.11682614,0.8831739,0.8831739,False
Heroin .. pours across our southern borders.,1,Real,Fake,0.988533,0.01146703,0.988533,False
"A lot of the ideas in terms of the (health insurance) exchange, just being able to pool and improve the purchasing power of individuals in the insurance market, that originated from the Heritage Foundation.",1,Real,Fake,0.9542876,0.045712393,0.9542876,False
Says Mitt Romney supports cap and trade.,0,Fake,Real,0.09499231,0.9050077,0.9050077,False
"Since the beginning of the year weve created a net increase of 45,000 jobs.",0,Fake,Real,0.035398748,0.9646013,0.9646013,False
My supporters arent special interest groups in Madison and Milwaukee.,1,Real,Fake,0.9908098,0.009190203,0.9908098,False
The average age of the minimum wage worker is 35 years old.,0,Fake,Real,0.06790721,0.93209285,0.93209285,False
Says One of the states largest governments made charging this tax one of their top priorities just this year.,0,Fake,Real,0.050815538,0.94918454,0.94918454,False
"In Syria, we struck a deal where we got 100 percent of the chemical weapons out.",1,Real,Fake,0.7027885,0.2972116,0.7027885,False
"We had a three-hour debate, no discussion about the national debt, very little about the economy.",1,Real,Fake,0.9809054,0.019094622,0.9809054,False
Obama-Nelson economic record: Job creation ... at slowest post-recession rate since Great Depression.,1,Real,Fake,0.967304,0.032696057,0.967304,False
"Says DonaldTrump got, you know, $1.8 billion worth of free media. I got, like, none.",1,Real,Fake,0.86570585,0.13429421,0.86570585,False
"When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they werent going to support Sen. Obama.",1,Real,Fake,0.72850925,0.27149066,0.72850925,False
Six thousand people have sought addiction treatment through expanded Medicaid.,0,Fake,Real,0.04379865,0.9562013,0.9562013,False
"When students leave our high schools and they go to the community college, 70-75 percent of them have to pay to take remedial math.",1,Real,Fake,0.61635256,0.38364747,0.61635256,False
"Of those 850,000 (new Texas) jobs, most were public-sector jobs and minimum-wage jobs.",0,Fake,Real,0.035151687,0.9648483,0.9648483,False
It is a fact that it costs more to run the schools in August.,0,Fake,Real,0.07715642,0.92284364,0.92284364,False
The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.,0,Fake,Real,0.22700782,0.77299213,0.77299213,False
About 78 to 81 House Democrats are members of the Communist Party. ... Its called the Congressional Progressive Caucus.,0,Fake,Real,0.050652992,0.949347,0.949347,False
"First, he was in favor of my plan, now he's attacking it.",1,Real,Fake,0.98067594,0.019324057,0.98067594,False
Fox News is banned in Canada because it violatesa law thatprevents news channels from lying to their viewers.,0,Fake,Real,0.05499814,0.9450019,0.9450019,False
Hedge fund managers pay less in taxes than nurses and truck drivers.,0,Fake,Real,0.05200971,0.9479903,0.9479903,False
Says President Barack Obamas approval rating gained 3 points in the last couple months.,1,Real,Fake,0.95324516,0.04675484,0.95324516,False
Wisconsin law says all recall petition signers must sign in the presence of another person.,0,Fake,Real,0.06327426,0.9367258,0.9367258,False
"In just a few years in office, Sen. Obama has accumulated the most liberal voting record in the Senate.",0,Fake,Real,0.22435732,0.7756427,0.7756427,False
Jules Bailey was instrumental in creating the Business Energy Tax Credit that let companies like Wal-Mart profit by $11 million while costing the Oregon general fund $33 million.,0,Fake,Real,0.28309458,0.7169054,0.7169054,False
"The big Wall Street banks, the big corporations give many times more political donations to Democrats than Republicans.",0,Fake,Real,0.03593416,0.96406585,0.96406585,False
David Perdue has never voted in a Republican primary until his name was on the ballot.,0,Fake,Real,0.06569854,0.9343015,0.9343015,False
Says in Texas its legal to shoot someone whos committing a public nuisance under the cover of dark.,0,Fake,Real,0.063227616,0.93677235,0.93677235,False
"A small business receiving a federal tax credit ""to provide health care for its employees ... would be barred under the Stupak Amendment from allowing their employees to use ... the health care that they offer them for abortion.""",0,Fake,Real,0.05393792,0.94606215,0.94606215,False
Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,1,Real,Fake,0.6112454,0.38875464,0.6112454,False
Says Barack Obamas comments indicate he believes in redistribution of wealth.,1,Real,Fake,0.95318073,0.04681929,0.95318073,False
Says Oregon state employees received a catch-up pay raise in 1981 -- just two years after they agreed not to take a raise in exchange for a retirement benefit.,0,Fake,Real,0.08587045,0.9141296,0.9141296,False
Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,1,Real,Fake,0.80591244,0.19408752,0.80591244,False
"Its not true that since hes been the president, executions in Iran have increased by four times.",0,Fake,Real,0.18099444,0.81900555,0.81900555,False
Over half the people on disability are either anxious or their back hurts.,0,Fake,Real,0.14919554,0.8508045,0.8508045,False
"Today California is kicking our butt, creating more jobs and more economic growth than Texas.",1,Real,Fake,0.97318,0.026819987,0.97318,False
Says Gov. Mike Pence and Rep. Mike Coffman take the same positions on a number of things... Coffman and Pence oppose equal rights for LGBT Americans.,0,Fake,Real,0.05422521,0.9457748,0.9457748,False
"All of Floridas four-year state colleges now offer bachelors degrees for only $10,000.",0,Fake,Real,0.09768905,0.90231097,0.90231097,False
"In the U.S. Constitution, theres a little section in there that talks about life, liberty and the pursuit of happiness.",0,Fake,Real,0.37065437,0.6293456,0.6293456,False
Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,1,Real,Fake,0.8718833,0.12811671,0.8718833,False
He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq.,1,Real,Fake,0.7905489,0.20945103,0.7905489,False
We now work the longest hours of any people around the world.,0,Fake,Real,0.103221126,0.8967789,0.8967789,False
"We haven't built a refinery, I think, in 30 years.",0,Fake,Real,0.038589183,0.96141076,0.96141076,False
Sixteen [federal] programs exist to fight homelessness and some of them are duplicative.,1,Real,Fake,0.9811808,0.018819213,0.9811808,False
Republicans offered Wisconsin bar patrons free shots (of alcohol) to sign recall petitions against Democrats.,0,Fake,Real,0.25247884,0.74752116,0.74752116,False
Says Donald Trumpsfoundation took money other people gave to his charity and then bought a six-foot-tall painting of himself.,1,Real,Fake,0.81696707,0.18303293,0.81696707,False
Says state Senate candidate Monk Elmer voted to exceed the (school district property tax) spending caps.,0,Fake,Real,0.05198565,0.9480143,0.9480143,False
Senator Obama has voted 94 times to either increase your taxes or against tax cuts.,0,Fake,Real,0.0819735,0.91802657,0.91802657,False
Lorain is the poorest urban school district in the state of Ohio.,0,Fake,Real,0.03921645,0.96078354,0.96078354,False
Says President Barack Obama said that American exceptionalism is no more exceptional than the exceptionalism of any other country.,0,Fake,Real,0.44578698,0.554213,0.554213,False
I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.,1,Real,Fake,0.8574503,0.14254971,0.8574503,False
The U.S. Supreme Court struck down Wisconsins photo ID election law,0,Fake,Real,0.059419297,0.9405807,0.9405807,False
We know how to stop AIDS: persuade men not to have sex with men.,0,Fake,Real,0.31094673,0.68905324,0.68905324,False
And weve constantly been the lowest unemployed county in the state.,0,Fake,Real,0.04925707,0.9507429,0.9507429,False
"Once a woman enters into the sex trade, her average life expectancy is seven years.",0,Fake,Real,0.054674175,0.94532585,0.94532585,False
"Says kids who start in the ninth grade in the city of Newark this past September, 23 percent of them will graduate in four years.",0,Fake,Real,0.046723004,0.953277,0.953277,False
I committed to public financing; (Obama) committed to public financing.,1,Real,Fake,0.9202034,0.07979659,0.9202034,False
All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.,1,Real,Fake,0.9823868,0.0176132,0.9823868,False
"Atlanta Mayor Kasim Reed became a city resident in the last annexation, opening the door to his candidacy.",1,Real,Fake,0.988361,0.011639015,0.988361,False
Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing.,0,Fake,Real,0.03628566,0.9637143,0.9637143,False
Ive done more impeachments than anybody else in the history of the country.,1,Real,Fake,0.9063402,0.09365987,0.9063402,False
"Says Marco Rubio believes the earth is 9,000 years old and that humans hunted dinosaurs to extinction; says Rand Paul believes the earth is 10,000 years old and God removed dinosaurs to make space for humans.",0,Fake,Real,0.2663544,0.7336456,0.7336456,False
Women have come through the recession worse off than men the numbers bear that out. We went from a 7 percent unemployment rate for women when he (President Barack Obama) was elected to an 8.1 percent now.,1,Real,Fake,0.98378193,0.016218042,0.98378193,False
"In countries where there are higher, more strict gun laws, there is more gun violence.",0,Fake,Real,0.05145585,0.9485442,0.9485442,False
Says he never wanted to raise the debt ceiling.,0,Fake,Real,0.3310856,0.6689144,0.6689144,False
"Thanks to (North Carolinas) governor and the legislature, the average teachersalary can barely support a family.",0,Fake,Real,0.069284625,0.9307153,0.9307153,False
It has been over 80 years since a lame-duck president appointed a Supreme Court justice.,0,Fake,Real,0.06506463,0.93493533,0.93493533,False
"While (Charlie Crist) was governor, utility costs went up 30 percent and went from below the national average to above the national average. Since I got elected, utility rates have come down 11 percent and now we are below the average.",0,Fake,Real,0.04716268,0.9528373,0.9528373,False
"In a lawsuit between private citizens, a Florida judge announced the decision was going to be based on Islamic Law.",1,Real,Fake,0.94106656,0.05893343,0.94106656,False
"The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.",0,Fake,Real,0.05126418,0.9487358,0.9487358,False
Agriculture has always required a significant workforce from abroad.,0,Fake,Real,0.078913026,0.92108697,0.92108697,False
Says HJM 20 was the only bill not assigned to a House committee.,0,Fake,Real,0.102034345,0.8979656,0.8979656,False
"Says if you try to hide marijuana in a hemp field, it becomes worthless. The THC goes away.",1,Real,Fake,0.9518499,0.0481501,0.9518499,False
Says the state is required pick up 70 percent of the cost of K-12 education.,0,Fake,Real,0.2716967,0.7283033,0.7283033,False
The minimum wage has risen $2.35 in the last two years. Thats 31 percent.,0,Fake,Real,0.052528612,0.9474713,0.9474713,False
"Everywhere that we have more citizens carrying guns, crime is less. Theres a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.",0,Fake,Real,0.38723168,0.6127683,0.6127683,False
The music industry is the biggest export from Africa after oil and gas.,0,Fake,Real,0.042684034,0.95731604,0.95731604,False
On the Troubled Asset Relief Program (TARP),1,Real,Fake,0.98553187,0.014468127,0.98553187,False
"Unfortunately, since Mr. Fosters been mayor ... there are less people employed in the city of St. Petersburg than there were prior to his taking office.",0,Fake,Real,0.07835971,0.92164034,0.92164034,False
Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues.,0,Fake,Real,0.1686671,0.8313329,0.8313329,False
"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.",0,Fake,Real,0.03238612,0.96761394,0.96761394,False
Bill McCollum said tax cuts don't work.,0,Fake,Real,0.2677738,0.73222625,0.73222625,False
The tax burden on Virginia families was lower under Tim Kaine than under George Allen.,0,Fake,Real,0.07339147,0.9266085,0.9266085,False
SaysMaggie Hassan was out of state on 30 days over the last three months.,1,Real,Fake,0.98831546,0.011684559,0.98831546,False
Miami-Dade County is the No. 1 donor county in the state.,0,Fake,Real,0.040659666,0.95934033,0.95934033,False
"We havent had a Republican senator in Washington for ... why, I think Clifford Case was our last Republican senator.",1,Real,Fake,0.64914024,0.35085982,0.64914024,False
We havent yet taken out a negative ad.,0,Fake,Real,0.115518704,0.8844813,0.8844813,False
"Here in Florida, Ive slashed government by 10 percent. That's $7 billion.",0,Fake,Real,0.057944387,0.94205564,0.94205564,False
"Over the past year ... our 16 counties have hemorrhaged more than 6,000 jobs with no apparent end in sight.",0,Fake,Real,0.03445285,0.96554714,0.96554714,False
"Even with recent changes, the average hourly wage at General Motors is still $75 an hour.",0,Fake,Real,0.056933217,0.9430668,0.9430668,False
U.S. House opponent Paul Ryan supports cutting funding for veterans by 24 percent.,0,Fake,Real,0.10898511,0.8910148,0.8910148,False
