text,label,true_label,predicted_label,negative_probability,neutral_probability,positive_probability,confidence,correct
What would The [un] @USER & Conservatives say if @USER or @USER did a secret deal to give $300miln to WA? #auspol,0,Negative,Neutral,0.0049761673,0.98503506,0.009988776,0.98503506,False
Abortion really brings out the kid in you.,0,Negative,Positive,0.021900613,0.21085234,0.767247,0.767247,False
You can now virtually travel the planet as #Google Earth is available in VR.,1,Neutral,Positive,0.0016434505,0.17453854,0.823818,0.823818,False
New #BeautyAndTheBeast photo of Gaston wooing Belle @USER @USER,2,Positive,Neutral,0.0011366783,0.96168137,0.037182,0.96168137,False
Smart roads are the companion self-driving cars need.,1,Neutral,Positive,0.005346711,0.09331379,0.9013395,0.9013395,False
Increasingly looks like Russia just conducted a sophisticated intel & propaganda operation of historic significance…,1,Neutral,Negative,0.90952784,0.087880015,0.0025921168,0.90952784,False
"@USER A fine on that level does not really make much difference, does it 😔 #fracking destroys #environment @USER",1,Neutral,Negative,0.98894763,0.009440816,0.0016115898,0.98894763,False
@USER When are we going to sign Mr. @USER to his extention? Let's get it done!,2,Positive,Neutral,0.0036915313,0.59561485,0.40069366,0.59561485,False
"@USER @USER @USER Great, so how far will you comply? Just squeeze a little more gun control?Ban angled foregrips, fudd?",0,Negative,Neutral,0.122022495,0.79782194,0.08015546,0.79782194,False
@USER The Clinton Crime Foundation got everyone wanting to Pay to Play!,0,Negative,Positive,0.02921702,0.43572682,0.53505623,0.53505623,False
FCBarcelona: Arda Turan missed Friday's training session at the Ciutat Esportiva due to a fever #FCBlive,1,Neutral,Negative,0.85277265,0.14378059,0.003446709,0.85277265,False
Spirit of my silence i can hear you. But im afraid to be near you. #ThisIsUs 😍😍😍,2,Positive,Neutral,0.13180976,0.57154584,0.29664442,0.57154584,False
Why does everything need a #remake? Enjoy the #classics! #BeautyandtheBeast #TheBradyBunch,1,Neutral,Positive,0.003171522,0.08247791,0.91435057,0.91435057,False
"Link in bio - Come on The Walking Dead, get it together. #TheWalkingDead",2,Positive,Neutral,0.002127694,0.69223803,0.3056343,0.69223803,False
Using #homeopathy to heal #PneumoniaInDogs is quick & economical #NaturalDogs #HolisticDogs,1,Neutral,Positive,0.0013169728,0.184323,0.81436,0.81436,False
@USER My opinion-This is a ploy to make an agreement between her and Trump. She won't protest if he won't prosecute.,1,Neutral,Negative,0.6492077,0.34038103,0.010411228,0.6492077,False
"$2 Mil a DAY to protect Trump et al, because Melania doesn't want to move to DC, & Trumpkins wants to ""go home""",0,Negative,Neutral,0.07703308,0.90322703,0.019739876,0.90322703,False
@USER only Marine le Pen seems pleased! Very concerning for Europe. Hope some heads start to really work in Brussels!,1,Neutral,Negative,0.9800148,0.018565161,0.0014200796,0.9800148,False
"@USER Imagining a credible threat, can they force him to sit down for the briefing? ""Look son, some bad hombres wanna get you...""0",1,Neutral,Negative,0.9895064,0.009560525,0.0009330007,0.9895064,False
"True, the Obama Admin. Squashed the Tea Party movement, unprecedented behavior.",1,Neutral,Negative,0.57739246,0.37607113,0.0465364,0.57739246,False
"@USER @USER @USER @USER @USER That's the first step in Gov't ""Gun Control"" Eliminate access to Ammunition.",1,Neutral,Negative,0.8984672,0.0987007,0.0028321312,0.8984672,False
"Let's stop parsing.Just as #AltRight = Nazi, populist = anti-immigrant white supremacist. This is simple, irrefutable historical fact.",1,Neutral,Negative,0.9756859,0.02243328,0.0018806971,0.9756859,False
#Tigers #Memorabilia 2013 DETROIT TIGERS TICKET LOT OF 3 vs WHITE SOX CABRERA VERLANDER VGC L@@USER! #Vintage #Sports,2,Positive,Neutral,0.00175141,0.9762597,0.02198891,0.9762597,False
@USER #GilmoreGirlsTop4 easy 2. Sookie 3. Emily 4. Luke,2,Positive,Neutral,0.0010684299,0.8039143,0.19501719,0.8039143,False
@USER @USER I'm retiring from twitter,0,Negative,Neutral,0.09156838,0.8330344,0.07539721,0.8330344,False
Watch Tesla Model S P85D’s instant speed avoid a potential rear-end collision,2,Positive,Neutral,0.0050700787,0.79003453,0.20489539,0.79003453,False
"Positive news - #France to enforce labeling of products produced in illegal #settlements, etc.: #Palestine #Israel",2,Positive,Neutral,0.042274814,0.5762718,0.38145348,0.5762718,False
@USER Direct Contact! Tell the Electoral College why they must invoke Emergency Safety Measures #NotMyPresident,1,Neutral,Negative,0.92395175,0.074005984,0.0020423005,0.92395175,False
This is by far the most clear-eyed WH appraisal of Obamacare's problems that we've seen. That's encouraging.,1,Neutral,Positive,0.0036778967,0.03353566,0.96278644,0.96278644,False
I'm starting to like the cowboys without Tony Romo,1,Neutral,Positive,0.024433974,0.16162324,0.81394285,0.81394285,False
Trump hit by media for choosing billionaires for Cabinet - Member of transition team Anthony Scaramucci weighs ...,0,Negative,Neutral,0.23101857,0.76056254,0.008418848,0.76056254,False
Neymar Jr leads the #UCL for assists - seven so far. We've got plenty more stats where that came from:…,1,Neutral,Positive,0.0009468954,0.30567458,0.69337857,0.69337857,False
Here's some @USER data on the partisan divide separating Dem and Rep views of Putin and Russia's role in the…,0,Negative,Neutral,0.026875274,0.9639914,0.009133356,0.9639914,False
its always valentines with this one #BabySelcaDay,1,Neutral,Positive,0.0014497652,0.0037111333,0.99483913,0.99483913,False
"Steve Bannon - its okay for straights to call lgbt ""gay, fag**t, and qu**r""... anyone who comes to me saying that gon catch these hands 👊💥 👊",0,Negative,Neutral,0.31526825,0.49081513,0.19391659,0.49081513,False
Tesla’s autopilot model highlights the dangers of self-driving cars and potential flaws in engineering.,1,Neutral,Negative,0.9816722,0.016915744,0.0014120052,0.9816722,False
Top story: TekUniverse Slashes Prices On The DreamCreator 3D Printing Pen For T… see more,2,Positive,Neutral,0.0033298428,0.9728555,0.023814626,0.9728555,False
Donald Trump should get Petr Cech to be the wall on the Mexican border. Nothing would get through.,1,Neutral,Negative,0.93610245,0.061391197,0.00250633,0.93610245,False
I'm gonna write a book based on Jigsaw capturing David Blaine lmao everyone's gonna h8 it,1,Neutral,Positive,0.0007904731,0.3315217,0.6676879,0.6676879,False
Phrenology meets deep learning. Precog here we come. If we could apply the test to all politicians & CEOs...[URL],1,Neutral,Positive,0.005692281,0.16721368,0.8270941,0.8270941,False
What the right wing press have dug up about the Brexit Supreme Court judges,1,Neutral,Negative,0.7673722,0.2296198,0.003008089,0.7673722,False
Chinese websites block searches for ‘Fatty Kim the Third’,1,Neutral,Negative,0.8979985,0.10040716,0.0015943747,0.8979985,False
"Despite their rocky history, @USER has joined the #LinuxFoundation as a platinum member",1,Neutral,Positive,0.0016515971,0.07520735,0.92314106,0.92314106,False
.@USER @USER voter suppression very real in WI per higher court injunction. Keep up. Secretary Clinton did not request recount.,1,Neutral,Negative,0.9838545,0.014974844,0.0011706495,0.9838545,False
"Dear NO voters, are you celebrating your victory? So are Nigel Farage and Marine Le Pen. Enjoy the lovely company. #ItalyReferendum",0,Negative,Positive,0.0021363958,0.053335648,0.944528,0.944528,False
We'll be featured in 3 magazines in a couple of months. Which pic should we use? #Vote #MDwine #BeautyAndTheBeast,2,Positive,Neutral,0.0007768676,0.6704939,0.32872924,0.6704939,False
"So Fidel is dead, but can someone enlighten me as to what's next?? Venezuelans rejoiced when Chavez died, but Maduro's just as bad/worse.",1,Neutral,Negative,0.99198115,0.0069519067,0.0010670265,0.99198115,False
Donald Trump Owns a Stake in the Dakota Access Pipeline #TrumpDirtyMoney #DakotaAccessPipeline,1,Neutral,Negative,0.9278381,0.0694985,0.0026633653,0.9278381,False
@USER @USER How do you explain this?,0,Negative,Neutral,0.01626453,0.97735786,0.00637756,0.97735786,False
Ahmed lost his home to IS. #MosulOffensive,1,Neutral,Negative,0.990321,0.008832747,0.0008462678,0.990321,False
Malak al-Khatib: Symbol of Palestinian childhood denied via @USER #gaza #palestine #israel #BDS #jerusalem,1,Neutral,Negative,0.9112254,0.087317415,0.0014572,0.9112254,False
"@USER If Sox fans AND the actual org. are going to build an identity around hating the Cubs, then I'll give it right back.",1,Neutral,Negative,0.9529514,0.044443708,0.0026048736,0.9529514,False
@USER Asking for identification isn't voter suppression.,1,Neutral,Negative,0.71728766,0.27783886,0.004873457,0.71728766,False
8 Dangerous Side Effects of Fracking That the Industry Doesn't Want You to Hear About | Alternet[URL],1,Neutral,Negative,0.99095976,0.008062909,0.0009772878,0.99095976,False
"@USER @USER wow!! How awful! I thought this was next because of transgender acceptance, not gay marriage. Great video! #pizzagate",1,Neutral,Negative,0.98007166,0.015353146,0.004575235,0.98007166,False
#Butterball Turkey Shareholder Investigated for Ties to #Hezbollah #terrorist #pig #revokecitizenship,1,Neutral,Negative,0.85817444,0.13980944,0.0020161187,0.85817444,False
"The @USER host Atlanta tonight. Don't be the fan who shows up at halftime, the game tips at 6p.",1,Neutral,Positive,0.005668271,0.4511317,0.5432,0.5432,False
"@USER says ""In 2007 The #UnitedStates of #America voted the wrong way on genocide in the #UnitedNations """,1,Neutral,Negative,0.99197054,0.0072832247,0.00074619194,0.99197054,False
"""Kim Fatty the Third""",0,Negative,Neutral,0.0022213736,0.9866876,0.011091013,0.9866876,False
"All plots to kill Hitler came from Rightists: von Stauffenberg, Rommel...",1,Neutral,Negative,0.9777713,0.020966107,0.0012625485,0.9777713,False
#RaulCastro: #Cuban #government will not #allow to be named after #Fidel the street and put him monuments…,1,Neutral,Negative,0.9012752,0.096886836,0.0018379692,0.9012752,False
Microsoft HoloLens just pulled off a mixed reality #MannequinChallenge. #htcive #baofeng #psvr,1,Neutral,Positive,0.001192682,0.033375364,0.9654319,0.9654319,False
"Potential for inhalable vaccines for influenza, pneumonia, with new approach",1,Neutral,Positive,0.00235107,0.06566959,0.9319793,0.9319793,False
"You got nothing to loose except your Retirement, SS, Medicare, Pensions, Healthcare, the right to vote. They voted GOP, need Mental Health",0,Negative,Neutral,0.35755542,0.6084417,0.03400287,0.6084417,False
"""Fatty Kim The Third"" 😭😭😭",1,Neutral,Positive,0.002161174,0.072747976,0.92509085,0.92509085,False
"Is #Ukraine headed for another revolution? #Saakashvili who resigned the Kiev govt because of corruption, thinks yes",1,Neutral,Negative,0.94484425,0.0533034,0.0018523626,0.94484425,False
first date dream: take me to an anti-trump protest,0,Negative,Neutral,0.0169806,0.9310841,0.05193524,0.9310841,False
@USER I would ask Verlander about that but he's blocked me I think,1,Neutral,Negative,0.96371,0.035325132,0.0009649418,0.96371,False
Jill STEIN WHY YOU DO ME A FAVOR GO RECOUNT FIDEL CASTRO S BALLS,0,Negative,Neutral,0.0055972235,0.84674895,0.14765379,0.84674895,False
"#tech #summary: #tesla #model s can be located, #un #locked, #stolen by manipulating #tesla #apps",0,Negative,Neutral,0.029140392,0.93773115,0.033128448,0.93773115,False
😂😂😂😂 I was about to say shimmy Duncan because of tim Duncan but it ain't sound right,1,Neutral,Negative,0.9825895,0.014538587,0.0028720375,0.9825895,False
Black firday saleHead commissionsPersona 5 HUD commissions (best if you get both for $2 extra),1,Neutral,Positive,0.003285453,0.3087292,0.68798536,0.68798536,False
Lauren Graham Responds To Lin-Manuel Miranda's 'Gilmore Girls' tweet - beautiful!@USER @USER,1,Neutral,Positive,0.0010428696,0.0069947788,0.9919624,0.9919624,False
Join me in supporting Foster Campbell via @USER #UniteBlue #LibCrib,1,Neutral,Positive,0.0005758457,0.046324518,0.9530996,0.9530996,False
James Harden is better than Cristiano Ronaldo,1,Neutral,Positive,0.021277154,0.13380434,0.84491855,0.84491855,False
@USER The effects of voter suppression were likely greater than both.,1,Neutral,Negative,0.97637117,0.022459595,0.0011692325,0.97637117,False
@USER @USER insurance from 298 to 1300 month. She said tax hikes; he said tax cuts. Lota friends jobless. Dems had their chance.,0,Negative,Neutral,0.42176583,0.5518926,0.026341626,0.5518926,False
Am apreciat un videoclip pe @USER Cristiano Ronaldo ► Magic Goals 2016/17 Skills & Goals |HD|,1,Neutral,Positive,0.0017784645,0.026147794,0.9720738,0.9720738,False
Chinese scientists convert infectious viruses into live vaccines to tackle deadly viruses,2,Positive,Neutral,0.05112643,0.8314065,0.1174671,0.8314065,False
"68,000 Iraqis displaced from #MosulOffensive: #UN via @USER",1,Neutral,Negative,0.98273945,0.016608268,0.000652325,0.98273945,False
"I'm thankful for all of the nasty women, bad hombres and various other sub groups fighting for my rights and the...",2,Positive,Negative,0.84205025,0.12361544,0.03433438,0.84205025,False
"""We have lost everything"": Syrians return to ravaged Aleppo, @USER reports. by #AP via @USER",1,Neutral,Negative,0.99173963,0.007232116,0.0010281914,0.99173963,False
@USER @USER And it's why their first order of business will be to put major voter suppression in place nationwide.,1,Neutral,Negative,0.9903458,0.008654539,0.00099969,0.9903458,False
Remarkable. Expert who investigated death of Litvinenko 'killed himself' after trip to Russia @USER,0,Negative,Neutral,0.33455575,0.57020634,0.09523787,0.57020634,False
"this is a very diverse & talented cast of men, but I find it hard to believe that no women wrote #NBAwards-worthy b…",1,Neutral,Positive,0.03861198,0.42368472,0.5377033,0.5377033,False
Harlem Salutes Fidel Castro -- Tribute and Farewell From Black Community,1,Neutral,Positive,0.0017322517,0.21183147,0.7864363,0.7864363,False
@USER @USER @USER you act like they are going to give us the death penalty so there is a middle ground,1,Neutral,Negative,0.98778766,0.011110311,0.0011020097,0.98778766,False
@USER Trump always appeared uncomfortable with chants of #LockHerUp and #DrainTheSwamp,1,Neutral,Negative,0.9847425,0.014400556,0.00085697137,0.9847425,False
@USER HEY DUCK WHAT ARE YOU TALKING ABOUT MADURO AND tHE BOLIVARIAN REVOLUTION AHH COCKSUCKER?? GO TO GIVE ASS IN PARK AVENUE..EVERYDAY,0,Negative,Positive,0.21535958,0.33800125,0.4466392,0.4466392,False
Sharon needles is doing Melania trump n the crowd is chanting CULEERAA,0,Negative,Neutral,0.045325056,0.9018438,0.0528312,0.9018438,False
@USER @USER #ThankYouObama For showing US why POTUS is not an affirmative action position! #EpicFail,1,Neutral,Positive,0.18037765,0.37488377,0.44473857,0.44473857,False
Trump wants to build a wall on the Mexican border cause he has never heard of tunnels. Mexicans are eagerly awaiting their invoice.,0,Negative,Neutral,0.29245245,0.61275744,0.09479017,0.61275744,False
Tesla Model S Hits The Track Ahead Of Electric GT Championship,2,Positive,Neutral,0.0008108577,0.8860069,0.11318224,0.8860069,False
Vandalism OK as long as protest #PresidentElectTrump !?!? #DrainTheSwamp #AmericaFirst #maga via @USER,0,Negative,Neutral,0.15683375,0.822014,0.021152277,0.822014,False
"The Truth, The Whole Truth & Nothing But The Truth! These voter registration laws SHOULD B UNCONSTITUTIONAL bc the…",1,Neutral,Negative,0.98392856,0.014762017,0.0013095109,0.98392856,False
Kim Fatty the Third 😂😂😂😂 China has excelled itself this time 👌,0,Negative,Positive,0.0017906841,0.007343082,0.99086624,0.99086624,False
See #AngelaLansbury trending on @USER Oh no. reads story.Oh she just hates the idea of the live action #BeautyAndTheBeast movie.,1,Neutral,Negative,0.9902098,0.008384252,0.0014058485,0.9902098,False
Poroshenko was allowed to fine the TV for separatism -,1,Neutral,Negative,0.8969517,0.10084817,0.0022000773,0.8969517,False
The externalities when Linux Foundation joins #microsoft GNUOpponents of #swpatsVictims of Microsoft's patent extortion campaignTruth,0,Negative,Neutral,0.4265263,0.56421125,0.009262377,0.56421125,False
Join #PatriotForceOne to fight progressives control of social & mainsteam media. Unite now #PJNet #Tcot #Tlot #TPP #JusticeforBenghazi4,2,Positive,Neutral,0.010168877,0.9507756,0.039055474,0.9507756,False
Please suspend #ISIS accounts@USER @USER @USER @USER @USER,1,Neutral,Negative,0.9882835,0.010894392,0.0008221539,0.9882835,False
@USER what do drone strikes have to do with Syria?,1,Neutral,Negative,0.84949785,0.14893381,0.0015683483,0.84949785,False
The Media Willingly Bought Into The GOP's Bogus Clinton FBI Email Tale[URL],1,Neutral,Negative,0.96819645,0.030255996,0.0015474921,0.96819645,False
Bday whiskeys @USER with local baskets of deplorables @USER @USER @USER @USER,1,Neutral,Negative,0.98959774,0.0092322845,0.0011699692,0.98959774,False
“Lead claimant in case also says newspaper coverage has incited violence against her and prevented her leading nor…”,1,Neutral,Negative,0.9825264,0.016784208,0.000689363,0.9825264,False
Microsoft joins Linux foundation as Platinum member. Va @USER,1,Neutral,Positive,0.0010867796,0.07492374,0.92398953,0.92398953,False
"If I just listen to the whole Leonard Cohen catalog one more time, will it start to feel okay? #fuck2016",1,Neutral,Negative,0.988992,0.008936358,0.0020717136,0.988992,False
"Bonus Morning: Husband working at cabin, boys still asleep, and no football on TV...YET. Time to catch up on @USER #ThisIsUs #Family",1,Neutral,Positive,0.004126544,0.07077636,0.92509705,0.92509705,False
"As Rakitic & Neymar both got yellow carded against Celtic & will therefore sit out the final game in Group C, at home to M'Gladbach #fcblive",1,Neutral,Negative,0.88893795,0.10944178,0.0016202902,0.88893795,False
"@USER All over, often in silly ways. For easier reading, I’ve collected my tweets about #GoogleEarthVR here:",1,Neutral,Positive,0.0047816355,0.49032047,0.5048979,0.5048979,False
